Territoire;Statut;Date - Heure;Production totale (MW);Thermique (MW);Bagasse/charbon (MW);Hydraulique (MW);Photovoltaïque (MW);Photovoltaïque avec stockage (MW);Eolien (MW);Bioénergies (MW);Batteries (MWh);Coût moyen de production (€/MWh)
Réunion;Validé;2018-11-15T06:00:00+04:00;354.4123565;95.7383607;173.2623075;72.42840636;6.309998928;1.061616379;3.6756666669999998;1.936;0.0;
Réunion;Validé;2018-07-09T02:00:00+04:00;208.471508;47.7857054;119.6887283;37.92867893;-0.366915482;-0.07517989700000001;1.940790156;1.5697005970000002;0.0;
Réunion;Validé;2018-07-09T04:00:00+04:00;218.5246338;45.08230534;124.6491709;45.73832111;-0.373116871;-0.081200011;1.938783135;1.570370193;0.0;
Réunion;Validé;2018-11-16T12:00:00+04:00;417.3840684;114.754317;134.4531394;72.28153365;81.87134577;8.654399185;3.4428333330000003;1.9264999999999999;0.0;
Réunion;Validé;2018-07-09T20:00:00+04:00;362.7764046;111.8601423;165.6122128;76.81368798;-0.37931825900000005;-0.09123621600000001;5.984939241;2.089976747;0.886;
Réunion;Validé;2018-11-16T22:00:00+04:00;376.0029603;111.2821643;172.1886075;88.27916262;-0.32807246;-0.032068415;1.912;1.814166667;0.887;
Réunion;Validé;2018-07-10T01:00:00+04:00;235.2130656;61.26220467;130.2362233;39.32819458;-0.361747659;-0.067143691;2.7375778420000003;2.077756618;0.0;
Réunion;Validé;2018-11-17T23:00:00+04:00;297.5602718;39.00452343;169.3520889;84.59191269;-0.379873375;-0.08721318;2.471333333;1.8155000000000001;0.792;
Réunion;Validé;2018-07-10T07:00:00+04:00;328.1491317;64.99562853;145.4766574;106.2044959;4.327535563;0.29548051200000003;5.285492117;1.563841631;0.0;
Réunion;Validé;2018-07-10T12:00:00+04:00;363.3673079;61.0825316;152.0321892;47.75121001;86.6757726;8.368434015;5.65361338;1.803557026;0.0;
Réunion;Validé;2018-11-18T16:00:00+04:00;298.8555614;31.00241268;172.0102953;52.07877287;34.33753137;6.130715811;1.4905;1.805333333;0.0;
Réunion;Validé;2018-07-10T22:00:00+04:00;347.4813957;93.24890881;162.0608333;86.82044399;-0.37621756500000003;-0.083213204;3.119413755;1.804226622;0.887;
Réunion;Validé;2018-11-19T01:00:00+04:00;238.6716305;47.74683241;139.4744901;48.23158701;-0.380952561;-0.07215977600000001;1.856166667;1.815666667;0.0;
Réunion;Validé;2018-07-11T22:00:00+04:00;345.268752;91.70661252;160.1658168;88.76352111;-0.363814788;-0.075185044;2.09984664;2.084954776;0.887;
Réunion;Validé;2018-11-19T19:00:00+04:00;378.717919;125.6811016;156.5614676;91.49903337;0.318359789;0.590623282;0.8696666670000001;2.310666667;0.887;
Réunion;Validé;2018-11-20T01:00:00+04:00;242.8991646;66.97705218;125.051202;48.52826331;-0.36800233200000004;-0.07818391300000001;0.972;1.816833333;0.0;
Réunion;Validé;2018-07-12T16:00:00+04:00;346.7450213;86.33798394;134.5878567;82.43650066;29.93410198;7.893653313;3.474154872;2.080769801;0.0;
Réunion;Validé;2018-11-22T06:00:00+04:00;262.0548711;44.63797522;142.8696952;62.26341666;8.70471205;0.877072052;0.8955000000000001;1.8065;0.0;
Réunion;Validé;2018-07-14T02:00:00+04:00;218.1918267;46.042329;117.8738127;51.90316915;-0.36898261200000004;-0.075185044;1.109883099;1.706800393;0.0;
Réunion;Validé;2018-11-23T05:00:00+04:00;251.5746735;25.21037826;145.4778952;77.80323384;0.207203659;-0.08020404;1.149;1.8071666670000002;0.0;
Réunion;Validé;2018-07-15T15:00:00+04:00;271.2025186;32.50297935;146.8316221;48.81247932;35.40165945;5.062221632;0.8912849660000001;1.700271831;0.0;
Réunion;Validé;2018-11-23T19:00:00+04:00;382.5056863;131.8822122;140.5566064;103.0481282;2.046136133;2.185270059;0.095833333;1.8054999999999999;0.886;
Réunion;Validé;2018-07-16T08:00:00+04:00;337.7300559;60.57684913;135.7114557;96.42331332;38.95402146;4.50537758;-0.05870539;1.617744115;0.0;
Réunion;Validé;2018-11-23T23:00:00+04:00;309.729098;90.3571264;139.4697408;77.84940699;-0.385269303;-0.091240239;-0.06366666700000001;1.804;0.789;
Réunion;Validé;2018-11-24T06:00:00+04:00;254.5002642;75.60804098;104.6386732;58.0071029;13.23297535;1.229305091;-0.019;1.8031666670000002;0.0;
Réunion;Validé;2018-11-26T09:00:00+04:00;375.992183;37.14015252;139.1631015;88.93395456;98.60412042;8.647353976;1.6365;1.867;0.0;
Réunion;Validé;2018-07-17T13:00:00+04:00;363.5221658;79.95298235;171.9641112;32.27265765;65.16005542;7.9848829640000005;4.481345351;1.7061307970000001;0.0;
Réunion;Validé;2018-11-27T19:00:00+04:00;378.9200899;112.2205028;190.0721775;69.1281267;0.064751143;0.35386516100000004;4.130333333;2.063333333;0.887;
Réunion;Validé;2018-07-18T20:00:00+04:00;367.5507007;143.093224;153.2884562;67.3611827;-0.36071409400000004;-0.063190488;1.782235428;1.563506833;0.886;
Réunion;Validé;2018-11-28T23:00:00+04:00;303.2230634;51.70639604;160.7551387;86.74022452;-0.38850686100000004;-0.081189042;2.073;1.631;0.787;
Réunion;Validé;2018-11-29T05:00:00+04:00;255.6687986;45.31336024;155.4693774;52.53806918;0.172669716;-0.070177898;0.614166667;1.6313333330000002;0.0;
Réunion;Validé;2018-07-19T18:00:00+04:00;415.9658731;148.170898;151.6619926;109.0007247;0.21808216;0.6503103440000001;3.618827699;1.761037675;0.884;
Réunion;Validé;2018-11-29T15:00:00+04:00;377.2974195;63.04766097;191.9426932;51.19948245;61.06032827;8.010421257;0.0315;2.005333333;0.0;
Réunion;Validé;2018-07-20T23:00:00+04:00;291.8589823;61.67354819;144.6930876;79.5975422;-0.38241895400000003;-0.085224148;3.871712455;1.653734904;0.837;
Réunion;Validé;2018-12-01T02:00:00+04:00;249.1404676;61.75852497;138.7036596;46.8407108;-0.39074703;-0.07717989;0.27116581300000003;2.034333333;0.0;
Réunion;Validé;2018-07-21T20:00:00+04:00;346.9898028;133.3373135;109.1060807;97.3120892;-0.37725113;-0.08521207900000001;5.717001821;1.092780793;0.887;
Réunion;Validé;2018-12-02T05:00:00+04:00;229.6961604;15.58075216;158.0360947;54.34574482;0.670765648;-0.078197107;-0.058833148;1.199833333;0.0;
Réunion;Validé;2018-07-22T12:00:00+04:00;308.8949184;45.10729193;124.0082754;52.5057225;73.98463117;7.655370428;3.826387211;1.807239804;0.0;
Réunion;Validé;2018-12-02T18:00:00+04:00;328.2943058;42.30660933;194.1043694;74.97986279;8.538989942;5.753807535;-0.045999855000000006;1.774666667;0.882;
Réunion;Validé;2018-07-22T15:00:00+04:00;262.2586532;42.56672948;88.57477647;62.76708414;56.35718454;7.505906071;3.603440531;0.88353202;0.0;
Réunion;Validé;2018-12-04T08:00:00+04:00;411.3079158;96.74053712;148.1208807;76.74644804;81.50405815;7.786324989;-0.062833135;0.47250000000000003;0.0;
Réunion;Validé;2018-07-24T17:00:00+04:00;368.7711129;129.5772187;128.5518721;91.22298214;8.187899865;5.270144909;3.830401255;1.6595938700000001;0.47100000000000003;
Réunion;Validé;2018-12-05T06:00:00+04:00;335.785958;113.1960946;146.8409506;56.59665312;15.6975959;1.37783027;-0.058833148;2.135666667;0.0;
Réunion;Validé;2018-07-24T22:00:00+04:00;344.2533746;131.4711005;105.0139204;101.8811753;-0.391721036;-0.086224148;3.819697138;1.6594264710000002;0.886;
Réunion;Validé;2018-12-06T04:00:00+04:00;275.3787952;138.9855208;103.4146111;31.60177363;-0.38963695400000004;-0.066139668;0.134832909;1.6978333330000002;0.0;
Réunion;Validé;2018-07-27T07:00:00+04:00;331.7443405;46.87284753;174.3297202;99.58127658;8.171362829;0.9422669650000001;0.6240165520000001;1.22284983;0.0;
Réunion;Validé;2018-12-06T18:00:00+04:00;418.8884231;180.1345246;143.6625698;77.61190653;8.54426106;5.8891633080000005;0.702164455;1.460833333;0.883;
Réunion;Validé;2018-07-28T06:00:00+04:00;252.801406;30.47510269;157.7586276;61.87854972;-0.373116871;-0.079189066;1.496736566;1.644695357;0.0;
Réunion;Validé;2018-07-28T08:00:00+04:00;322.0631949;30.0704187;156.6824231;90.99308205;36.45176123;5.050035399;1.15219781;1.663276648;0.0;
Réunion;Validé;2018-12-07T08:00:00+04:00;425.6035226;138.9441104;133.6944235;60.71562681;83.52661806;7.810410418;-0.028333244;0.940666667;0.0;
Réunion;Validé;2018-07-29T20:00:00+04:00;333.8035754;61.27285727;177.662734;90.70881629;-0.35554627;-0.07117522300000001;2.046158805;1.65273051;0.887;
