Territoire;Statut;Date - Heure;Production totale (MW);Thermique (MW);Bagasse/charbon (MW);Hydraulique (MW);Photovoltaïque (MW);Photovoltaïque avec stockage (MW);Eolien (MW);Bioénergies (MW);Batteries (MWh);Coût moyen de production (€/MWh)
Réunion;Validé;2017-01-01T11:00:00+04:00;322.2477207;-1.275925463;177.0840762;32.57821654;106.1601;6.1869;0.203;1.311385366;0.0;249.43
Réunion;Validé;2017-01-01T17:00:00+04:00;290.4941824;67.63661217;163.8200628;45.18429239;11.0088;1.5859999999999999;-0.016;1.274402699;0.0;180.68
Réunion;Validé;2017-01-01T20:00:00+04:00;346.8736542;92.95879833;163.3860672;88.62822219;-0.34590000000000004;-0.124;0.31;1.178447673;0.882;170.07
Réunion;Validé;2017-01-02T00:00:00+04:00;273.2971453;56.8789949;173.5650451;41.9412508;-0.3246;-0.101;0.156;1.181446267;0.0;161.5
Réunion;Validé;2017-01-02T05:00:00+04:00;252.5647442;44.79148937;191.7679106;14.58739584;-0.2715;-0.097;0.631;1.155458447;0.0;162.83
Réunion;Validé;2017-01-02T22:00:00+04:00;381.7698073;104.9549307;208.7357062;65.77128917;-0.3352;-0.112;0.87;1.8851164640000002;0.0;172.9
Réunion;Validé;2017-01-03T07:00:00+04:00;320.3505356;59.76558508;183.9899918;26.47198551;42.7919;4.4359;1.0;1.895111779;0.0;211.06
Réunion;Validé;2017-01-03T09:00:00+04:00;397.5973275;62.02998994;184.8879632;42.22801773;98.6853;6.2079;1.67;1.888115058;0.0;243.06
Réunion;Validé;2017-01-03T16:00:00+04:00;397.1635144;91.65093432;193.6678812;45.25452171;55.0591;7.3449;2.385;1.801155815;0.0;220.22
Réunion;Validé;2017-01-03T19:00:00+04:00;400.8519621;109.3039309;201.9647756;85.24414788;-0.368;0.858;2.038;1.81115113;0.0;172.12
Réunion;Validé;2017-01-03T22:00:00+04:00;383.2571157;105.4988965;208.2877172;66.13990103;-0.3305;-0.123;1.966;1.818147851;0.0;174.21
Réunion;Validé;2017-01-04T05:00:00+04:00;266.5032392;63.48457816;183.0550303;17.37946729;-0.255;-0.091;1.109;1.8211464460000002;0.0;171.09
Réunion;Validé;2017-01-04T15:00:00+04:00;403.2894923;110.9520927;196.6808402;31.63197955;54.1486;6.4179;1.589;1.869123959;0.0;225.04
Réunion;Validé;2017-01-04T23:00:00+04:00;328.0643511;80.64071164;199.5468223;45.48249116;-0.314;-0.111;1.3900000000000001;1.429330086;0.0;167.62
Réunion;Validé;2017-01-05T07:00:00+04:00;321.1276195;63.55158017;173.1831269;48.21829946;30.3021;4.2749;0.741;0.85659852;0.0;195.68
